#;Player;Score;Kills;Death;Damage;Map Count;Teams;Maps;Rounds;K-D Diff;K/D;Rating1.0;First Place;Second Place;Third Place;Earnings
;BURNRUOk;;;;;;['ground-zero', 'grayhound', 'immunity'];860.0;22168.0;-518.0;0.97;0.98;;;;
328.0;Banjo;6.1;0.66;0.65;74.69;175.0;['fnatic-rising', 'havu'];417.0;11118.0;100.0;1.01;0.98;;;;
;Barcode;;;;;;['gameagents', 'volgare', 'sensei'];344.0;9007.0;-131.0;0.98;0.99;;;;
1020.0;Bart4k;5.5;0.58;0.68;62.51;78.0;['the-huns', 'ihc', 'checkmate', 'mazaalai', 'themongolz'];278.0;7339.0;-365.0;0.93;0.92;;;;
;Basso;;;;;;['copenhagen-flames'];618.0;16195.0;226.0;1.02;1.0;;;;
56.0;BeaKie;6.4;0.73;0.66;78.59;82.0;['bhop', 'villainous', 'reason', 'ggpr'];357.0;9128.0;432.0;1.07;1.05;;;;
;Benkai;;;;;;['boot-ds', 'boot', 'dreamscape'];603.0;15560.0;2046.0;1.2;1.14;;;;
524.0;Beway;6.0;0.65;0.68;74.13;53.0;;;;;;;;;;
694.0;Bibu;5.8;0.62;0.68;70.16;88.0;['nasr', 'undefined', 'genone'];306.0;7963.0;-285.0;0.95;0.95;;;;
375.0;Bielany;6.1;0.67;0.7;76.53;90.0;;;;;;;;;;
;Blizzard;;;;;;;;;;;;15.0;6.0;7.0;$71,653
128.0;Blogg1s;6.3;0.72;0.61;71.81;69.0;['esuba', 'sampi'];452.0;12368.0;998.0;1.13;1.07;;;;
702.0;BluePho3nix;5.8;0.62;0.67;69.36;69.0;;;;;;;;;;
397.0;Blytz;6.0;0.67;0.69;76.63;215.0;['eclot', 'enterprise', 'nexus', 'let-us-cook'];628.0;16449.0;235.0;1.02;1.01;;;;
249.0;BnTeT;6.1;0.69;0.68;76.31;101.0;['tyloo', 'geng'];1114.0;29019.0;3806.0;1.21;1.14;17.0;14.0;12.0;$192,105
1045.0;BobZ;5.4;0.53;0.69;63.6;110.0;;;;;;;;;;
;Bobosaur;;;;;;['boot-ds', 'boot', 'hz'];338.0;8801.0;-291.0;0.95;0.95;;;;
834.0;Boombl4;5.7;0.6;0.67;69.72;581.0;['natus-vincere', 'winstrike', 'quantum-bellator-fire', '1win'];1352.0;35478.0;-761.0;0.97;0.97;22.0;10.0;19.0;$1,133,210
245.0;Brehze;6.1;0.7;0.69;75.37;285.0;['nrg', 'evil-geniuses'];1329.0;34382.0;2833.0;1.12;1.09;13.0;6.0;19.0;$423,078
288.0;Brollan;6.1;0.67;0.68;76.99;443.0;['fnatic', 'ninjas-in-pyjamas', 'godsent'];1238.0;32716.0;1400.0;1.06;1.05;17.0;13.0;17.0;$396,072
952.0;Brooxsy;5.6;0.58;0.68;66.24;69.0;;;;;;;;;;
197.0;Bruninho;6.2;0.69;0.64;76.0;110.0;['furia-academy'];311.0;8191.0;19.0;1.0;0.98;;;;
696.0;Bubzkji;5.8;0.63;0.69;72.14;86.0;['tricked', 'fragsters', 'mad-lions', 'astralis'];817.0;21619.0;963.0;1.07;1.04;10.0;7.0;13.0;$227,133
969.0;Buda;5.6;0.57;0.66;65.7;158.0;;;;;;;;;;
376.0;Burmylov;6.1;0.67;0.66;69.02;68.0;;;;;;;;;;
;Butters;;;;;;['gameplaydna', '1337huania', 'refuse', 'chaos'];242.0;6193.0;45.0;1.01;1.01;;;;
677.0;Buzz;5.9;0.63;0.67;71.17;219.0;['astralis', 'masonic', 'ex-mad-lions', 'agf'];464.0;12320.0;-170.0;0.98;0.97;7.0;3.0;5.0;$93,976
359.0;Bwills;6.1;0.67;0.67;75.21;188.0;['nouns', 'triumph'];1162.0;30147.0;1471.0;1.07;1.04;;;;
462.0;Bymas;6.0;0.64;0.62;70.95;350.0;['mouz', 'into-the-breach'];504.0;13193.0;184.0;1.02;0.98;9.0;5.0;8.0;$115,350
;Bååten;;;;;;['x6tence-galaxy', 'red-reserve', 'fnatic-academy', 'chaos'];743.0;19804.0;20.0;1.0;0.99;;;;
;CHRiSOAOW;;;;;;['legacy', 'chiefs', 'lucky7', 'onestop'];255.0;6428.0;-6.0;1.0;0.99;;;;
72.0;CLASIA;6.3;0.72;0.66;81.27;44.0;['rbg', 'secret-club', 'carpe-diem', 'chococheck'];493.0;12769.0;883.0;1.1;1.07;;;;
;COLDYY1;;;;;;['spirit'];947.0;24917.0;1718.0;1.11;1.06;;;;
;CONNOR93;;;;;;['ghost', 'bees-money-crew', 'blackout', 'the-pioneers'];449.0;11544.0;-457.0;0.94;0.95;;;;
403.0;CRUC1AL;6.0;0.66;0.61;68.37;295.0;['endpoint', 'epsilon', 'into-the-breach'];1762.0;46071.0;3294.0;1.11;1.06;18.0;17.0;11.0;$106,259
787.0;CSO;5.8;0.62;0.7;71.01;133.0;['solid', 'sws', 'tropicaos'];339.0;8387.0;-363.0;0.94;0.95;;;;
400.0;CYPHER;6.0;0.68;0.71;76.4;317.0;['into-the-breach', 'tsm'];695.0;18195.0;-362.0;0.97;0.99;;;;
;CaNNiE;;;;;;['sinners', 'esuba'];222.0;5830.0;-45.0;0.99;0.98;;;;
298.0;Cabbi;6.1;0.71;0.71;77.24;240.0;['espionage', 'lyngby-vikings', 'ecstatic', 'agf', 'masonic'];942.0;24264.0;-66.0;1.0;1.01;;;;
219.0;CacaNito;6.2;0.7;0.7;80.0;330.0;['apeks', 'bluejays'];647.0;16675.0;706.0;1.06;1.06;11.0;6.0;10.0;$68,013
467.0;Calyx;6.0;0.65;0.63;70.18;266.0;['eternal-fire', 'space-soldiers'];1357.0;35413.0;3093.0;1.14;1.08;20.0;16.0;9.0;$224,829
;Carcass;;;;;;['1337huania', 'gameplaydna', 'refuse'];223.0;5736.0;29.0;1.01;1.0;;;;
423.0;CeRq;6.0;0.64;0.61;66.64;321.0;['nrg', 'evil-geniuses', 'outlaws'];1300.0;33629.0;3495.0;1.17;1.09;19.0;13.0;20.0;$408,562
;Celrate;;;;;;['singularity', 'copenhagen-flames', 'team123'];361.0;9660.0;57.0;1.01;0.99;;;;
611.0;Chawzyyy;5.9;0.64;0.66;72.9;46.0;;;;;;;;;;
312.0;ChildKing;6.1;0.69;0.71;77.23;66.0;['wings-up'];278.0;7285.0;141.0;1.03;1.02;;;;
532.0;Chr1zN;6.0;0.65;0.68;72.56;248.0;['mouz-nxt'];426.0;10569.0;-221.0;0.97;0.96;;;;
;Chub;;;;;;['paradox', 'caught-off-guard', 'surge'];274.0;7006.0;-1064.0;0.8;0.84;;;;
;CigaretteS;;;;;;['signature', 'mith', '7642'];207.0;5417.0;550.0;1.15;1.11;;;;
680.0;Cjoffo;5.9;0.63;0.65;68.61;204.0;['zero-tenacity'];448.0;11298.0;-155.0;0.98;0.96;;;;
44.0;CoJoMo;6.4;0.73;0.66;78.02;53.0;['take-flyte', 'davenport-university', 'reign'];218.0;5446.0;345.0;1.1;1.05;;;;
;Coffee;;;;;;['goodjob'];355.0;9234.0;-291.0;0.95;0.96;;;;
;Console;;;;;;['tricked', 'alternate-attax', 'copenhagen-flames', 'singularity'];708.0;18612.0;-582.0;0.95;0.95;;;;
228.0;Cooper;6.2;0.73;0.7;74.93;111.0;['mythic', 'swole-patrol', 'eunited', 'triumph'];961.0;24726.0;2202.0;1.14;1.08;;;;
;Crityourface;;;;;;['pact', 'codewise-unicorns'];232.0;6136.0;124.0;1.03;1.01;;;;
598.0;Cryptic;5.9;0.65;0.69;72.51;154.0;['boss', 'wildcard', 'detonate'];457.0;11425.0;-245.0;0.97;0.98;;;;
671.0;CutzMeretz;5.9;0.64;0.7;74.75;110.0;['meta'];408.0;10534.0;-494.0;0.93;0.93;;;;
;CyberFocus;;;;;;['nemiga', 'k29', 'rebels', 'empire'];491.0;12779.0;320.0;1.04;1.02;;;;
299.0;Cyrix;6.1;0.68;0.61;68.21;77.0;['unjustified', 'snakes-den', 'onet4p'];276.0;6921.0;360.0;1.08;1.05;;;;
8.0;D0cC;6.6;0.78;0.66;79.72;42.0;;;;;;;;;;
571.0;D4RTYMONTANA;5.9;0.64;0.64;70.05;130.0;;;;;;;;;;
40.0;DANK1NG;6.4;0.75;0.63;74.28;70.0;['tyloo', 'ehome'];457.0;12106.0;1897.0;1.25;1.16;;;;
429.0;DANVIET;6.0;0.67;0.69;75.23;79.0;['the-union', 'intz', 'corinthians', 'solid', 'alma'];481.0;12650.0;-405.0;0.95;0.97;;;;
;DANZ;;;;;;['corvidae', 'kanga', 'avant'];391.0;10173.0;-620.0;0.92;0.93;;;;
;DAVEY;;;;;;['splyce', 'mythic'];801.0;20713.0;-294.0;0.98;0.98;;;;
;DD;;;;;;['tyloo', 'onethree'];942.0;24271.0;1503.0;1.09;1.06;49.0;30.0;24.0;$231,371
1019.0;DDias;5.5;0.58;0.77;70.56;87.0;['rhyno', 'ftw'];331.0;8670.0;-1208.0;0.82;0.86;;;;
351.0;DEPRESHN;6.1;0.67;0.62;67.7;99.0;['ination', '0to100', 'ago'];291.0;7765.0;438.0;1.09;1.04;;;;
;DESPE;;;;;;['space-soldiers'];468.0;12127.0;320.0;1.04;1.01;;;;
;DEV7L;;;;;;['extatus'];549.0;14256.0;582.0;1.06;1.03;;;;
;DEVIL;;;;;;['ldlc', 'envy', 'ldlc-white', '3dmax'];638.0;16633.0;-305.0;0.97;0.97;17.0;14.0;8.0;$72,082
100.0;DGL;6.3;0.72;0.6;70.16;103.0;['pera', 'ago', 'genone', 'm1'];206.0;5060.0;521.0;1.17;1.08;;;;
;DILLION1;;;;;;['coscu-army', 'furious', 'windingo', 'leviatan'];308.0;8074.0;36.0;1.01;0.99;;;;
520.0;DJF;6.0;0.66;0.69;73.37;59.0;;;;;;;;;;
;DJOXiC;;;;;;['binary-dragons', 'ination', 'valiance'];489.0;12531.0;1204.0;1.15;1.08;;;;
247.0;DSSj;6.1;0.69;0.66;72.62;102.0;['arcred'];220.0;5449.0;183.0;1.05;1.01;;;;
740.0;Daffu;5.8;0.61;0.66;67.24;67.0;['lyngby-vikings', 'ecstatic', 'copenhagen-flames'];717.0;19219.0;103.0;1.01;0.98;;;;
709.0;DaneJoris;5.8;0.63;0.72;73.47;92.0;;;;;;;;;;
;Danejoris;;;;;;['third-impact', 'brazen', 'reason'];448.0;11388.0;-389.0;0.95;0.95;;;;
633.0;Danistzz;5.9;0.65;0.69;71.11;125.0;;;;;;;;;;
;DannyG;;;;;;['rooster', 'paradox'];378.0;9777.0;300.0;1.04;1.03;;;;
;DarkS1DE;;;;;;['hollywood', 'plink', 'windigo-academy'];237.0;6179.0;-291.0;0.93;0.95;;;;
;Dav;;;;;;['squared', 'onyx', 'ination'];468.0;12095.0;-822.0;0.9;0.91;;;;
681.0;DavCost;5.9;0.63;0.67;70.83;36.0;['spirit', '1win', 'inde-irae'];1360.0;35819.0;1918.0;1.08;1.04;26.0;18.0;15.0;$75,785
;Daveeys;;;;;;['infinity', 'vault'];267.0;6672.0;411.0;1.09;1.05;;;;
;Davidp;;;;;;['3dmax', 'heretics'];774.0;20539.0;1009.0;1.08;1.03;;;;
;DeStRoYeR;;;;;;['invictus', 'ehome', 'boot'];600.0;15845.0;-235.0;0.98;0.97;;;;
;DeadFox;;;;;;['hellraisers'];807.0;21060.0;-54.0;1.0;0.98;6.0;8.0;11.0;$114,794
932.0;DeathZz;5.6;0.59;0.65;67.42;115.0;['movistar-riders'];551.0;14730.0;18.0;1.0;0.98;;;;
73.0;Decenty;6.3;0.74;0.61;77.72;204.0;;;;;;;;;;
;Delta9;;;;;;['detonate', 'levitate', 'censrd', 'h00liganz'];206.0;5421.0;-189.0;0.95;0.97;;;;
881.0;Dem0N;5.7;0.63;0.72;68.64;34.0;;;;;;;;;;
380.0;DemQQ;6.1;0.66;0.64;74.46;415.0;['monte', 'cr4zy', 'akuma'];916.0;23747.0;193.0;1.01;0.99;17.0;12.0;15.0;$118,329
549.0;Dementor;5.9;0.64;0.72;75.76;41.0;;;;;;;;;;
646.0;Demho;5.9;0.63;0.65;70.72;180.0;['anonymo', 'illuminar', 'thunderflash'];512.0;13505.0;-284.0;0.97;0.95;;;;
530.0;Demonos;6.0;0.65;0.7;76.24;116.0;['corinthians', 'daotsu', 'meta'];409.0;10843.0;-605.0;0.92;0.93;;;;
;Derek;;;;;;['bren', 'mag'];245.0;6253.0;147.0;1.03;1.02;;;;
;Detrony;;;;;;['bravado'];413.0;10468.0;848.0;1.12;1.08;;;;
;Devilwalk;;;;;;['fnatic', 'epsilon'];414.0;10853.0;-1160.0;0.84;0.85;;;;
;Dezibel;;;;;;['avant', 'madlikewizards', 'athletico'];361.0;9269.0;-857.0;0.86;0.87;;;;
372.0;DiMKE;6.1;0.64;0.67;74.4;37.0;['lvlup', 'resistance', 'onyx', '4glory'];711.0;18712.0;476.0;1.04;1.02;;;;
;DickStacy;;;;;;['grayhound', 'dark-sided'];630.0;15858.0;312.0;1.03;1.0;;;;
;Dima;;;;;;;;;;;;17.0;22.0;14.0;$75,204
;Dimaoneshot;;;;;;['spirit', 'espada'];1320.0;34760.0;-556.0;0.98;0.99;;;;
;Diray;;;;;;['sgpro', 'winside'];263.0;6997.0;-262.0;0.94;0.94;;;;
;Dirty;;;;;;['taboo', 'skyfire', 'rot', 'i-sleep', 'bbbmbcbs'];214.0;5712.0;148.0;1.04;1.03;;;;
152.0;Diviiii;6.2;0.72;0.61;71.15;39.0;;;;;;;;;;
335.0;Djoko;6.1;0.69;0.7;75.93;392.0;['heet', 'dbl-poney', 'looking4org'];950.0;24901.0;-168.0;0.99;1.0;;;;
;Domsterr;;;;;;['atk', 'energy', 'denial', 'aperture'];274.0;6833.0;439.0;1.1;1.05;;;;
;Dosia;;;;;;['gambit', 'hellraisers'];1468.0;38434.0;109.0;1.0;0.98;25.0;20.0;36.0;$334,105
455.0;Dragon;6.0;0.66;0.68;73.83;109.0;['ination'];382.0;10004.0;278.0;1.04;1.02;;;;
;Drea3er;;;;;;['new4', 'five', 'btrg'];418.0;10753.0;-374.0;0.95;0.96;;;;
;Drew;;;;;;['victorum', 'coldest-riders'];232.0;6092.0;-554.0;0.87;0.89;;;;
1040.0;Drewtheshrew;5.4;0.56;0.75;66.96;36.0;;;;;;;;;;
;Drone;;;;;;['splyce', 'envy'];454.0;11841.0;-168.0;0.98;0.99;;;;
;DuDe;;;;;;['alternate-attax', 'panthers'];303.0;8063.0;-1464.0;0.74;0.78;;;;
746.0;Ducky;5.8;0.63;0.7;71.77;47.0;;;;;;;;;;
809.0;Duplicate;5.8;0.58;0.64;68.83;104.0;['skade', 'fate', 'partizan'];990.0;26395.0;-1123.0;0.94;0.94;;;;
196.0;Dytor;6.2;0.71;0.69;79.65;137.0;['eclot'];530.0;13721.0;274.0;1.03;1.03;;;;
458.0;EIZA;6.0;0.66;0.67;71.24;33.0;['nasr', 'genone', 'vexed', 'wolsung'];234.0;6268.0;-181.0;0.96;0.95;;;;
;ELUSIVE;;;;;;['bravado'];401.0;10136.0;38.0;1.01;0.97;;;;
;EMIYA;;;;;;['rocket', 'timbermen', 'iron-blood'];611.0;15429.0;77.0;1.01;0.99;;;;
;EMUHLEET;;;;;;['karma', 'dignitas-fe'];203.0;4995.0;345.0;1.11;1.04;;;;
561.0;EXPRO;5.9;0.64;0.67;72.97;38.0;;;;;;;;;;
1016.0;EXUS;5.5;0.56;0.75;68.76;57.0;['pride', 'izako-boars'];987.0;26248.0;-1438.0;0.92;0.93;;;;
;EasTor;;;;;;['movistar-riders', 'offset'];503.0;13375.0;378.0;1.04;1.01;;;;
22.0;Easy;6.5;0.74;0.61;75.65;69.0;;;;;;;;;;
;Edward;;;;;;['natus-vincere'];1495.0;39373.0;773.0;1.03;1.0;58.0;46.0;34.0;$716,851
;Eeyore;;;;;;['recca', 'btrg'];214.0;5531.0;-344.0;0.91;0.93;;;;
;El Patron;;;;;;['preparation', 'rush3d', 'fluffy-gangsters', 'hey'];213.0;5748.0;-80.0;0.98;0.96;;;;
211.0;El1an;6.2;0.68;0.61;72.82;232.0;['winstrike', 'entropiq', 'epg'];1450.0;38643.0;4980.0;1.21;1.12;17.0;18.0;16.0;$117,879
52.0;EliGE;6.4;0.73;0.68;81.85;579.0;['liquid'];1879.0;49048.0;3418.0;1.1;1.08;21.0;29.0;27.0;$1,203,782
911.0;Elk;5.7;0.61;0.76;73.63;30.0;['rocket', 'big-chillin', 'onet4p', 'axolotls'];212.0;5361.0;-557.0;0.86;0.89;;;;
736.0;EmiliaQAQ;5.8;0.62;0.66;67.3;97.0;;;;;;;;;;
527.0;Enzo;6.0;0.65;0.68;73.47;181.0;['los-kogutos', 'ago', 'izako-boars'];526.0;14157.0;-181.0;0.98;0.97;;;;
947.0;Ersin;5.6;0.6;0.71;68.45;85.0;;;;;;;;;;
;EspiranTo;;;;;;['imperial', 'valiance', 'cr4zy', 'c0ntact'];881.0;23045.0;1349.0;1.09;1.07;12.0;9.0;11.0;$91,252
98.0;Ethan;6.3;0.68;0.66;78.31;91.0;['nrg', 'clg', 'evil-geniuses'];986.0;25998.0;1488.0;1.09;1.06;12.0;5.0;23.0;$392,461
525.0;Ex1st;6.0;0.67;0.71;76.39;142.0;;;;;;;;;;
574.0;Ex3rcice;5.9;0.65;0.65;71.01;371.0;['3dmax', 'heet', 'dbl-poney', 'looking4org'];773.0;20274.0;5.0;1.0;0.98;;;;
;Ex6TenZ;;;;;;['titan', 'ldlc', 'verygames', 'g2'];1393.0;36352.0;-1064.0;0.96;0.94;50.0;25.0;28.0;$164,909
675.0;Extinct;5.9;0.65;0.77;75.77;125.0;['viperio', 'coalesce', 'umx', 'fambit'];362.0;9469.0;-885.0;0.88;0.92;;;;
